interaction_id,user_id,video_completion,quiz_attempted,drop_out
1,111,75,False,False
2,991,100,True,False
3,452,25,False,True
4,414,0,True,True
5,260,100,False,False
6,822,100,False,True
7,351,100,False,False
8,930,25,True,False
9,708,100,False,False
10,852,25,False,False
11,184,0,True,False
12,658,0,True,False
13,175,0,True,False
14,712,0,False,False
15,700,100,True,False
16,618,100,False,False
17,955,25,False,False
18,386,0,False,False
19,889,50,False,False
20,585,0,False,True
21,272,75,True,True
22,726,50,True,False
23,186,75,True,False
24,652,50,True,True
25,901,25,True,False
26,167,100,True,False
27,143,25,True,False
28,493,50,False,False
29,72,0,False,True
30,344,25,False,False
31,499,50,False,False
32,147,0,False,False
33,613,100,True,False
34,501,50,True,False
35,338,75,True,False
36,85,75,False,False
37,817,75,True,False
38,891,0,False,False
39,807,0,False,False
40,846,25,True,False
41,143,0,False,False
42,891,50,False,False
43,311,75,True,False
44,369,100,True,False
45,707,75,True,False
46,696,50,True,False
47,813,100,False,False
48,971,25,True,False
49,441,0,True,False
50,67,50,True,False
51,734,0,True,False
52,774,25,False,False
53,838,100,False,False
54,927,50,False,True
55,534,100,True,False
56,341,50,True,False
57,678,25,False,False
58,102,25,False,False
59,314,25,True,False
60,966,0,False,False
61,925,75,True,False
62,952,100,True,True
63,110,50,False,False
64,907,100,False,False
65,432,75,True,False
66,342,0,True,False
67,828,0,False,False
68,179,75,False,False
69,679,50,False,False
70,134,75,True,False
71,30,0,False,False
72,875,0,False,False
73,473,100,False,True
74,996,50,True,True
75,385,50,True,False
76,598,0,True,False
77,9,75,True,True
78,941,0,True,False
79,136,100,False,False
80,290,75,True,False
81,976,0,False,False
82,979,50,True,False
83,648,100,True,False
84,652,0,True,True
85,43,0,False,True
86,105,25,True,False
87,824,75,False,False
88,31,25,False,False
89,682,50,True,False
90,673,75,False,False
91,787,100,False,False
92,765,75,True,True
93,219,0,False,False
94,984,0,True,False
95,113,0,True,False
96,732,75,False,False
97,695,0,False,False
98,260,0,False,False
99,12,25,False,True
100,471,0,True,False
101,340,25,True,False
102,872,50,False,False
103,924,75,True,False
104,246,25,False,True
105,250,75,True,False
106,570,75,False,False
107,509,100,False,False
108,304,25,False,False
109,888,0,False,False
110,892,100,True,False
111,513,25,True,False
112,361,25,False,True
113,715,50,False,False
114,44,0,True,False
115,319,50,False,False
116,607,75,True,False
117,489,0,False,False
118,294,50,False,False
119,509,50,True,False
120,521,0,True,False
121,774,25,True,False
122,326,75,True,False
123,253,100,False,False
124,308,100,False,False
125,323,100,True,False
126,608,75,True,False
127,867,0,False,True
128,912,0,False,False
129,642,0,False,True
130,36,100,True,False
131,617,25,True,True
132,711,50,False,False
133,291,100,True,False
134,888,75,False,False
135,542,0,False,True
136,941,50,True,False
137,942,0,False,False
138,605,0,True,True
139,489,0,False,False
140,961,25,False,False
141,236,50,True,False
142,385,100,False,False
143,361,25,False,True
144,953,75,False,False
145,967,75,False,False
146,707,100,False,False
147,256,50,False,True
148,868,100,False,False
149,359,25,True,False
150,543,50,False,False
151,25,75,True,False
152,815,50,False,False
153,952,50,True,False
154,984,50,False,False
155,1,100,True,False
156,358,0,False,True
157,118,25,True,False
158,479,50,False,True
159,677,50,False,False
160,459,100,False,False
161,113,25,False,False
162,195,25,False,False
163,652,75,False,False
164,20,25,False,False
165,286,25,True,False
166,458,50,True,False
167,743,0,False,False
168,448,50,True,False
169,591,100,True,False
170,640,25,False,False
171,85,0,True,False
172,576,50,False,False
173,274,75,False,False
174,800,100,False,False
175,403,100,True,False
176,253,100,False,False
177,606,50,True,False
